Managing Agency ID,Managing Agency Name,Managing Sub-agency or Bureau Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name,International Category Name,International Sector Name,International Purpose Name,US Category Name,US Sector Name,Funding Account Name,Funding Agency Name,Funding Agency Acronym,Activity ID,Activity Name,Activity Description,Activity Project Number,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
4,Department of the Treasury,Office of Technical Assistance,Government,Government - United States,U.S. Government - Department of Treasury,Governance,Government and Civil Society,Domestic revenue mobilisation,Economic Development,Macroeconomic Foundation for Growth,International Affairs Technical Assistance,Department of the Treasury,TREAS,117426,Technical Assistance for Niger - Revenue Administration and Revenue Policy,"Ensure the organizational reform project has a well-documented set of objectives, goals, milestones, etc. so the reform may be done effectively and efficiently; Develop and implement a project management structure, with staff, plans, controls, and performance measures to successfully complete the current tender for a major IT systems upgrade.",OTA5000000022,2015,305909,342096
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Program Support,Direct Administrative Costs,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,60501,MCC Not Applicable,"Due diligence funding is used to obtain sufficient information to evaluate, assess and appraise projects during compact development, effectively oversee and monitor compact implementation, conduct quality assurance, and then evaluate the results of a compact project once complete.",NER-2750BXDILD-NA-NA,2015,305481,341619
7,Department of Defense,Defense Security Cooperation Agency,Government,Government - United States,U.S. Government - Department of Defense,Governance,"Conflict, Peace, and Security",Security system management and reform,Peace and Security,Counter-Terrorism,"Department of Defense, Overseas Contingency Operations Transfer Fund",Department of Defense,DOD,403529,Combating Terrorism Fellowship Program (CTFP),"The Combating Terrorism Fellowship Program (CTFP) is a Secretary of Defense authority (Title 10) to build partnerships in the struggle against violent extremism through targeted, non-lethal, combating terrorism (CbT) education and training for mid- to senior-level international military officers, ministry of defense civilians, and security officials.",,2015,304516,340539
32,Department of the Air Force,Defense Security Cooperation Agency,Government,Government - United States,U.S. Government - Department of the Air Force,Governance,"Conflict, Peace, and Security",Security system management and reform,Peace and Security,Stabilization Operations and Security Sector Reform,Excess Defense Articles,Department of Defense,DOD,25083,"DoD Excess Defense Articles, Grant Authority","DoD Excess Defense Articles, Grant Authority. WING SET FOR C-130, Quantity Delivered: 1.",,2015,265540,296953
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Economic Development,Private Sector Competitiveness,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,59102,MCC Access To Markets Projects,"609(g) funding is used pre-compact for key project preparation work such as feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures.",NER-2750BX69GD-ACCESSMARK-389,2015,250000,279575
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Program Support,Monitoring and Evaluation,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,60996,MCC Program Assessments,"609(g) funding is used pre-compact for key project preparation work such as feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures.",NER-2750BX69GD-PGM ASSMT-412,2015,250000,279574
19,African Development Foundation,not applicable,NGO,NGO - Non United States,Action pour le Dveloppement des Initiatives Locales,Other,Other Multisector,Rural development,Multi-sector,Multi-sector - Unspecified,African Development Foundation,African Development Foundation,ADF,34629,ONG Action for Local Development Initiatives,ONG Action for Local Development Initiatives,4030,2015,243708,272538
19,African Development Foundation,not applicable,NGO,NGO - Non United States,ONG Tidene,Agriculture,Agriculture,Agricultural development,Economic Development,Agriculture,African Development Foundation,African Development Foundation,ADF,34652,Tidene Valley Agricultural Support Project,The project funds will be used to strengthen the Unions management and technical capabilities to enable its members; who are ex-combatants and returned Nigerien migrants; to constructwells; procure irrigation pumps and production inputs to establish and manage viable market gardens.,4068,2015,222373,248679
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Enterprises,Enterprises - United States,Enterprise - United States Redacted,Administrative Costs,Administration and Oversight,Administration and Oversight,Program Support,Direct Administrative Costs,"Agency for International Development, International Assistance Program, Transition Initiatives",U.S. Agency for International Development,USAID,170889,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,2015,214254,239601
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Enterprises,Enterprises - United States,Enterprise - United States Redacted,Administrative Costs,Administration and Oversight,Administration and Oversight,Program Support,Direct Administrative Costs,"Agency for International Development, International Assistance Program, Transition Initiatives",U.S. Agency for International Development,USAID,170698,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,2015,207440,231979
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Enterprises,Enterprises - Non United States,Unspecified Vendors - Senegal,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,172958,"USAID Miscellaneous Goods, Services, and Operations Maintanence","Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence",,2015,204961,229208
